    0.12838   -0.546643   -0.261876   -0.592455   -0.260307   -0.271019    0.771353   -0.388445   -0.783934    0.643474
   0.151679   -0.542759   -0.195683    -0.68554   -0.349615   -0.265079    0.805583   -0.486906    -0.80725    0.556842
   0.174979   -0.538876    -0.12949   -0.778626   -0.438923   -0.259139    0.839813   -0.585366   -0.830567    0.470211
   0.198279   -0.534993  -0.0632972   -0.871712    -0.52823   -0.253199    0.874043   -0.683826   -0.853884    0.383579
   0.221578   -0.531109  0.00289588   -0.964797   -0.617538   -0.247259    0.908273   -0.782287   -0.877201    0.296948
   0.244878   -0.527226   0.0690889       -0.99   -0.706846   -0.241319    0.942502   -0.880747   -0.900518    0.210316
   0.268177   -0.523343    0.135282   -0.896914   -0.796153   -0.235379    0.976732   -0.979207   -0.923835    0.123685
   0.291477   -0.519459    0.201475   -0.803829   -0.885461   -0.229439        0.99       -0.99   -0.947152   0.0370529
   0.314777   -0.515576    0.267668   -0.710743   -0.974769   -0.223499     0.95577    -0.89154   -0.970469  -0.0495786
   0.338076   -0.511693    0.333861   -0.617658       -0.99   -0.217559     0.92154   -0.793079       -0.99    -0.13621
   0.361376    -0.50781    0.400054   -0.524572   -0.900692   -0.211619     0.88731   -0.694619   -0.966683   -0.222842
   0.384675   -0.503926    0.466247   -0.431486   -0.811385   -0.205679    0.853081   -0.596159   -0.943366   -0.309473
   0.407975   -0.500043     0.53244   -0.338401   -0.722077   -0.199739    0.818851   -0.497698   -0.920049   -0.396105
   0.431274    -0.49616    0.598633   -0.245315   -0.632769   -0.193799    0.784621   -0.399238   -0.896733   -0.482736
   0.454574   -0.492276    0.664827    -0.15223   -0.543462   -0.187859    0.750391   -0.300777   -0.873416   -0.569368
   0.477874   -0.488393     0.73102  -0.0591441   -0.454154   -0.181919    0.716161   -0.202317   -0.850099      -0.656
   0.501173    -0.48451    0.797213   0.0339414   -0.364846   -0.175979    0.681931   -0.103857   -0.826782   -0.742631
   0.524473   -0.480627    0.863406    0.127027   -0.275539   -0.170039    0.647701 -0.00539626   -0.803465   -0.829263
   0.547772   -0.476743    0.929599    0.220113   -0.186231   -0.164099    0.613471   0.0930641   -0.780148   -0.915894
   0.571072    -0.47286        0.99    0.313198  -0.0969233   -0.158159    0.579242    0.191524   -0.756831       -0.99
   0.594371   -0.468977    0.923807    0.406284 -0.00761567   -0.152218    0.545012    0.289985   -0.733515   -0.903368
   0.617671   -0.465094    0.857614    0.499369    0.081692   -0.146278    0.510782    0.388445   -0.710198   -0.816737
   0.640971    -0.46121    0.791421    0.592455       0.171   -0.140338    0.476552    0.486906   -0.686881   -0.730105
    0.66427   -0.457327    0.725228     0.68554    0.260307   -0.134398    0.442322    0.585366   -0.663564   -0.643474
    0.68757   -0.453444    0.659035    0.778626    0.349615   -0.128458    0.408092    0.683826   -0.640247   -0.556842
   0.710869    -0.44956    0.592842    0.871712    0.438923   -0.122518    0.373862    0.782287    -0.61693   -0.470211
   0.734169   -0.445677    0.526649    0.964797     0.52823   -0.116578    0.339632    0.880747   -0.593613   -0.383579
   0.757468   -0.441794    0.460456        0.99    0.617538   -0.110638    0.305403    0.979207   -0.570297   -0.296948
   0.780768   -0.437911    0.394263    0.896914    0.706846   -0.104698    0.271173        0.99    -0.54698   -0.210316
   0.804068   -0.434027    0.328069    0.803829    0.796153  -0.0987581    0.236943     0.89154   -0.523663   -0.123685
   0.827367   -0.430144    0.261876    0.710743    0.885461   -0.092818    0.202713    0.793079   -0.500346  -0.0370529
   0.850667   -0.426261    0.195683    0.617658    0.974769   -0.086878    0.168483    0.694619   -0.477029   0.0495786
   0.873966   -0.422378     0.12949    0.524572        0.99   -0.080938    0.134253    0.596159   -0.453712     0.13621
   0.897266   -0.418494   0.0632972    0.431486    0.900692  -0.0749979    0.100023    0.497698   -0.430395    0.222842
